fantasy_player_id,player_first_name,player_last_name,nba_player_id
410.p.5191,Gorgui,Dieng,203476.0
410.p.5192,Mason,Plumlee,203486.0
410.p.5193,Solomon,Hill,203524.0
410.p.5194,Tim,Hardaway Jr.,203501.0
410.p.5195,Reggie,Bullock,203493.0
410.p.5196,Andre,Roberson,203460.0
410.p.5197,Rudy,Gobert,203497.0
410.p.5201,Allen,Crabbe,203459.0
410.p.5214,Mike,Muscala,203488.0
410.p.5217,Raul,Neto,203526.0
410.p.5220,James,Ennis III,203516.0
410.p.5245,Seth,Curry,203552.0
410.p.5249,Matthew,Dellavedova,203521.0
410.p.5253,Robert,Covington,203496.0
410.p.5256,Dewayne,Dedmon,203473.0
410.p.5262,JaMychal,Green,203210.0
410.p.5270,Rodney,McGruder,203585.0
410.p.5281,James,Nunnally,203263.0
410.p.5291,Scotty,Hopson,203816.0
410.p.5292,Andrew,Wiggins,203952.0
410.p.5293,Jabari,Parker,203953.0
410.p.5294,Joel,Embiid,203954.0
410.p.5295,Aaron,Gordon,203932.0
410.p.5316,Danté,Exum,203957.0
410.p.5317,Marcus,Smart,203935.0
410.p.5318,Julius,Randle,203944.0
410.p.5320,Noah,Vonleh,203943.0
410.p.5321,Elfrid,Payton,203901.0
410.p.5322,Doug,McDermott,203926.0
410.p.5323,Dario,Saric,203967.0
410.p.5324,Zach,LaVine,203897.0
410.p.5325,T.J.,Warren,203933.0
410.p.5327,Jusuf,Nurkic,203994.0
410.p.5330,Gary,Harris,203914.0
410.p.5334,Rodney,Hood,203918.0
410.p.5336,Clint,Capela,203991.0
410.p.5338,Bogdan,Bogdanovic,203992.0
410.p.5341,Kyle,Anderson,203937.0
410.p.5344,Joe,Harris,203925.0
410.p.5347,Johnny,O'Bryant III,203948.0
410.p.5349,Spencer,Dinwiddie,203915.0
410.p.5350,Jerami,Grant,203924.0
410.p.5351,Glenn,Robinson III,203922.0
410.p.5352,Nikola,Jokic,203999.0
410.p.5356,Dwight,Powell,203939.0
410.p.5357,Jordan,Clarkson,203903.0
410.p.5362,Thanasis,Antetokounmpo,203648.0
410.p.5376,Tyler,Johnson,204020.0
410.p.5383,Tarik,Black,204028.0
410.p.5388,Langston,Galloway,204038.0
410.p.5389,Travis,Wear,204037.0
410.p.5390,Khem,Birch,203920.0
410.p.5393,Joe,Ingles,204060.0
410.p.5414,Tim,Frazier,204025.0
410.p.5417,Jakarr,Sampson,203960.0
410.p.5420,David,Stockton,204065.0
410.p.5432,Karl-Anthony,Towns,1626157.0
410.p.5433,D'Angelo,Russell,1626156.0
410.p.5434,Jahlil,Okafor,1626143.0
410.p.5464,Kristaps,Porzingis,204001.0
410.p.5466,Willie,Cauley-Stein,1626161.0
410.p.5467,Emmanuel,Mudiay,1626144.0
410.p.5468,Stanley,Johnson,1626169.0
410.p.5469,Frank,Kaminsky,1626163.0
410.p.5470,Justise,Winslow,1626159.0
410.p.5471,Myles,Turner,1626167.0
410.p.5472,Trey,Lyles,1626168.0
410.p.5473,Devin,Booker,1626164.0
410.p.5474,Cameron,Payne,1626166.0
410.p.5475,Kelly,Oubre Jr.,1626162.0
410.p.5476,Terry,Rozier,1626179.0
410.p.5478,Sam,Dekker,1626155.0
410.p.5480,Delon,Wright,1626153.0
410.p.5481,Justin,Anderson,1626147.0
410.p.5482,Bobby,Portis,1626171.0
410.p.5483,Rondae,Hollis-Jefferson,1626178.0
410.p.5484,Tyus,Jones,1626145.0
410.p.5487,Larry,Nance Jr.,1626204.0
410.p.5490,Kevon,Looney,1626172.0
410.p.5491,Cedi,Osman,1626224.0
410.p.5492,Montrezl,Harrell,1626149.0
410.p.5495,Guillermo,Hernangómez,1626195.0
410.p.5497,Richaun,Holmes,1626158.0
410.p.5500,Josh,Richardson,1626196.0
410.p.5501,Pat,Connaughton,1626192.0
410.p.5506,Norman,Powell,1626181.0
410.p.5522,Cristiano,Felicio,1626245.0
410.p.5524,Boban,Marjanovic,1626246.0
410.p.5526,Jonathon,Simmons,203613.0
410.p.5528,Axel,Toupane,1626253.0
410.p.5539,Treveon,Graham,1626203.0
410.p.5542,Michael,Frazier,1626187.0
410.p.5575,Omari,Johnson,204179.0
410.p.5576,Keifer,Sykes,1626208.0
410.p.5582,T.J.,McConnell,204456.0
410.p.5583,Christian,Wood,1626174.0
410.p.5588,Quinn,Cook,1626188.0
410.p.5600,Ben,Simmons,1627732.0
410.p.5601,Brandon,Ingram,1627742.0
410.p.5602,Jaylen,Brown,1627759.0
410.p.5636,Kris,Dunn,1627739.0
410.p.5637,Buddy,Hield,1627741.0
410.p.5638,Jamal,Murray,1627750.0
410.p.5639,Marquese,Chriss,1627737.0
410.p.5640,Jakob,Poeltl,1627751.0
410.p.5641,Thon,Maker,1627748.0
410.p.5642,Domantas,Sabonis,1627734.0
410.p.5643,Taurean,Prince,1627752.0
410.p.5645,Denzel,Valentine,1627756.0
